,Name,Matches Played
267,Arshdeep Singh,2
251,Avesh Khan,5
229,Axar Patel,13
34,Bhuvneshwar Kumar,16
159,Chetan Sakariya,1
72,Deepak Chahar,11
192,Deepak Hooda,6
124,Hardik Pandya,28
98,Jasprit Bumrah,23
179,Jayant Yadav,1
361,Jaydev Unadkat,1
64,Kedar Jadhav,6
56,Khaleel Ahmed,3
161,Krishnappa Gowtham,1
133,Krunal Pandya,5
278,Kuldeep Sen,1
304,Kuldeep Yadav,40
123,Mayank Agarwal,1
67,Mohammed Shami,27
311,Mohammed Siraj,23
358,Mukesh Kumar,3
120,Navdeep Saini,8
163,Nitish Rana,1
239,Prasidh Krishna,14
160,Rahul Chahar,1
253,Ravi Bishnoi,1
171,Ravichandran Ashwin,2
343,Ravindra Jadeja,24
279,Shahbaz Ahmed,3
314,Shardul Thakur,33
69,Shivam Dube,1
77,Shreyas Iyer,4
126,T Natarajan,2
303,Umran Malik,9
174,Venkatesh Iyer,1
14,Vijay Shankar,1
321,Washington Sundar,13
168,Yuzvendra Chahal,29
