,Name,Runs,Balls,4s,6s,SR,Matches Played,Out,Avg
401,Arshdeep Singh,9,9,0,1,100.0,1,1,9.0
335,Avesh Khan,13,18,2,0,72.22222222222221,2,2,6.5
522,Axar Patel,232,213,10,13,108.92018779342723,12,8,29.0
69,Bhuvneshwar Kumar,29,50,2,0,57.99999999999999,6,5,5.8
240,Chetan Sakariya,0,1,0,0,0.0,1,0,0.0
399,Deepak Chahar,191,193,16,8,98.96373056994818,8,5,38.2
397,Deepak Hooda,153,189,10,1,80.95238095238095,7,6,25.5
65,Dinesh Karthik,14,34,2,0,41.17647058823529,2,2,7.0
66,Hardik Pandya,935,860,77,29,108.72093023255813,29,25,37.4
462,Ishan Kishan,694,646,73,26,107.43034055727554,16,15,46.266666666666666
250,Jasprit Bumrah,29,51,3,0,56.86274509803921,7,2,14.5
266,Jayant Yadav,2,6,0,0,33.33333333333333,1,1,2.0
200,KL Rahul,1643,1870,126,41,87.86096256684492,39,34,48.3235294117647
86,Kedar Jadhav,215,222,20,4,96.84684684684684,11,6,35.833333333333336
237,Krishnappa Gowtham,2,3,0,0,66.66666666666666,1,1,2.0
211,Krunal Pandya,130,128,11,2,101.5625,4,2,65.0
413,Kuldeep Sen,2,4,0,0,50.0,1,0,2.0
467,Kuldeep Yadav,64,105,5,0,60.952380952380956,13,6,10.666666666666666
24,MS Dhoni,273,311,20,5,87.78135048231512,8,6,45.5
224,Manish Pandey,126,146,8,1,86.3013698630137,6,5,25.2
137,Mayank Agarwal,86,83,12,1,103.6144578313253,5,5,17.2
468,Mohammed Shami,73,87,5,3,83.9080459770115,14,9,8.11111111111111
434,Mohammed Siraj,30,64,2,0,46.875,10,5,6.0
529,Mukesh Kumar,6,7,1,0,85.71428571428571,1,1,6.0
239,Navdeep Saini,107,137,9,3,78.1021897810219,5,2,53.5
236,Nitish Rana,7,14,0,0,50.0,1,1,7.0
310,Prasidh Krishna,2,12,0,0,16.666666666666664,4,2,1.0
221,Prithvi Shaw,189,166,32,2,113.85542168674698,6,6,31.5
238,Rahul Chahar,13,25,0,0,52.0,1,1,13.0
370,Ravi Bishnoi,4,2,1,0,200.0,1,0,4.0
247,Ravichandran Ashwin,32,37,1,1,86.48648648648648,2,1,32.0
317,Ravindra Jadeja,525,602,32,13,87.20930232558139,19,10,52.5
75,Rishabh Pant,772,740,80,23,104.32432432432432,22,21,36.76190476190476
311,Rohit Sharma,1827,1826,203,57,100.05476451259582,37,33,55.36363636363637
363,Ruturaj Gaikwad,27,56,2,0,48.214285714285715,2,2,13.5
341,Sanju Samson,390,375,27,19,104.0,12,7,55.714285714285715
409,Shahbaz Ahmed,0,4,0,0,0.0,1,1,0.0
388,Shardul Thakur,293,281,31,7,104.27046263345197,20,16,18.3125
198,Shikhar Dhawan,1438,1727,176,12,83.26577880718008,37,34,42.294117647058826
94,Shivam Dube,9,6,1,0,150.0,1,1,9.0
416,Shreyas Iyer,1421,1472,140,29,96.53532608695652,33,30,47.36666666666667
436,Shubman Gill,1421,1349,164,28,105.33728687916974,25,21,67.66666666666667
493,Suryakumar Yadav,511,504,53,11,101.38888888888889,24,21,24.333333333333332
528,Umran Malik,2,11,0,0,18.181818181818183,3,1,2.0
256,Venkatesh Iyer,24,40,0,1,60.0,2,2,12.0
33,Vijay Shankar,58,75,6,0,77.33333333333333,3,2,29.0
15,Virat Kohli,2055,2112,192,22,97.30113636363636,46,43,47.7906976744186
430,Washington Sundar,233,272,17,6,85.66176470588235,9,8,29.125
309,Yuzvendra Chahal,43,74,3,0,58.108108108108105,7,5,8.6
